9.88	37199
9.71	40332
9.66	39665
9.55	52141
9.52	37017
9.25	35145
9.10	80785
9.09	37429
9.07	39196
9.02	41772
9.01	42652
9.01	27587
8.82	34448
8.69	38470
8.39	23864
8.34	29840
8.17	25275
8.16	22588
8.15	35648
8.15	33418
8.13	28516
8.07	33421
8.04	12071
8.04	10671
7.96	27894
7.96	11315
7.91	9784
7.89	14669
7.88	26398
7.82	31261
7.74	20889
7.73	31001
7.68	2789
7.60	13503
7.60	27604
7.53	18732
7.43	3634
7.43	18906
7.40	20298
7.38	9855
7.37	17663
7.35	10386
7.34	8866
7.30	16306
7.28	28991
7.18	19286
7.10	12048
7.06	11449
7.04	18330
6.94	6921
6.67	13920
6.63	13474
6.62	9679
6.60	3530
6.58	4258
6.57	10247
6.54	6374
6.54	1961
6.52	9953
6.50	2708
6.48	1542
6.48	3493
6.41	3675
6.40	8649
6.33	8929
6.25	4273
6.22	6738
6.16	5143
6.16	1381
6.15	6172
6.11	1421
6.11	7753
6.07	4714
6.03	43144
5.99	999
5.98	13738
5.98	4076
5.91	6754
5.89	52986
5.82	952
5.82	10765
5.70	12600
5.68	3733
5.67	7910
5.66	4414
5.64	7809
5.42	12238
5.37	1744
5.35	2307
5.28	774
5.25	1308
5.22	531
5.18	1230
5.14	1164
5.08	1529
5.02	14758
4.97	677
4.90	4659
4.77	1817
4.72	795
4.51	522
4.39	1644
4.19	1171
4.15	5303
4.08	1989
4.01	5261
3.92	2740
3.92	5075
3.90	1165
3.90	4107
3.90	5483
3.82	1024
3.72	1186
3.62	10798
3.57	977
3.54	660
3.53	38568
3.52	2044
3.42	1134
3.34	11024
3.31	7878
3.27	2076
3.17	6549
3.12	1851
3.09	39209
3.06	713
3.06	8368
2.98	2339
2.97	5526
2.93	5534
2.93	11485
2.90	2019
2.78	80762
2.77	22370
2.75	2793
2.72	15377
2.62	3995
2.62	611
2.45	1636
2.41	4935
2.37	2237
2.36	4472
2.31	695
2.10	1997
2.09	24053
2.02	1008
2.00	1089
1.92	24259
1.85	2363
1.84	14789
1.83	5117
1.75	894
1.65	1953
